Two_P,Two_PP,Two_PA,Three_P,Three_PP,Three_PA,AST,Age,BLK,DRB,FG,FGP,FGA,FT,FTP,FTA,G,GS,MP,ORB,PF,PTS,STL,TOV,TRB,eFGP,place,name,team,team_abbr,year
300,0.461,651,212,0.388,547,494,29,34,310,512,0.427,1198,398,0.811,491,77,77,2851,55,211,1634,158,225,365,0.516,Toronto,Kyle Lowry,Raptors,TOR,2016
567,0.458,1238,47,0.338,139,315,26,21,285,614,0.446,1377,555,0.85,653,78,78,2804,64,167,1830,81,175,349,0.463,Toronto,DeMar DeRozan,Raptors,TOR,2016
227,0.478,475,30,0.273,110,250,24,20,171,257,0.439,585,133,0.764,174,80,4,2046,39,131,677,63,102,210,0.465,Toronto,Cory Joseph,Raptors,TOR,2016
98,0.49,200,106,0.362,293,94,26,32,265,204,0.414,493,29,0.853,34,79,0,2020,77,128,543,53,65,342,0.521,Toronto,Patrick Patterson,Raptors,TOR,2016
156,0.544,287,0,0.0,1,29,23,133,473,156,0.542,288,142,0.628,226,82,22,1808,182,225,454,19,71,655,0.542,Toronto,Bismack Biyombo,Raptors,TOR,2016
139,0.484,287,131,0.386,339,56,24,25,164,270,0.431,626,49,0.79,62,73,7,1747,21,120,720,54,46,185,0.536,Toronto,Terrence Ross,Raptors,TOR,2016
204,0.467,437,65,0.404,161,66,35,27,276,269,0.45,598,61,0.726,84,76,76,1636,84,178,664,46,68,360,0.504,Toronto,Luis Scola,Raptors,TOR,2016
303,0.565,536,0,0.0,0,42,23,80,363,303,0.565,536,162,0.761,213,60,59,1557,184,158,768,25,85,547,0.565,Toronto,Jonas Valančiūnas,Raptors,TOR,2016
94,0.54,174,20,0.303,66,67,28,33,98,114,0.475,240,39,0.574,68,57,32,926,28,84,287,29,54,126,0.517,Toronto,James Johnson,Raptors,TOR,2016
59,0.388,152,46,0.39,118,27,29,6,91,105,0.389,270,30,0.6,50,26,22,786,31,63,286,44,28,122,0.474,Toronto,DeMarre Carroll,Raptors,TOR,2016
61,0.436,140,36,0.404,89,47,22,10,95,97,0.424,229,43,0.811,53,49,24,725,16,59,273,29,32,111,0.502,Toronto,Norman Powell,Raptors,TOR,2016
27,0.529,51,5,0.333,15,10,29,12,58,32,0.485,66,18,0.818,22,19,6,292,22,40,87,8,8,80,0.523,Toronto,Jason Thompson,Raptors,TOR,2016
31,0.463,67,5,0.385,13,31,23,3,29,36,0.45,80,26,0.743,35,27,1,229,8,7,103,8,16,37,0.481,Toronto,Delon Wright,Raptors,TOR,2016
27,0.659,41,1,0.333,3,7,23,12,28,28,0.636,44,8,0.533,15,29,1,225,18,29,65,12,11,46,0.648,Toronto,Lucas Nogueira,Raptors,TOR,2016
5,0.385,13,3,0.214,14,0,22,0,17,8,0.296,27,9,0.9,10,19,0,84,6,8,28,5,4,23,0.352,Toronto,Anthony Bennett,Raptors,TOR,2016
0,0.0,5,1,0.143,7,1,20,1,1,1,0.083,12,0,0.0,0,6,1,43,1,2,3,2,4,2,0.125,Toronto,Bruno Caboclo,Raptors,TOR,2016
424,0.462,917,167,0.359,465,509,26,9,197,591,0.428,1382,474,0.871,544,82,79,2644,46,167,1823,91,220,243,0.488,Boston,Isaiah Thomas,Celtics,BOS,2016
309,0.505,612,147,0.361,407,158,25,19,172,456,0.447,1019,96,0.78,123,76,72,2536,48,164,1155,117,109,220,0.52,Boston,Avery Bradley,Celtics,BOS,2016
238,0.529,450,122,0.336,363,135,25,35,303,360,0.443,813,196,0.82,239,73,73,2308,70,198,1038,126,83,373,0.518,Boston,Jae Crowder,Celtics,BOS,2016
323,0.482,670,20,0.241,83,359,27,28,347,343,0.456,753,148,0.827,179,81,12,2271,50,139,854,80,169,397,0.469,Boston,Evan Turner,Celtics,BOS,2016
322,0.458,703,29,0.282,103,187,23,47,479,351,0.435,806,103,0.64,161,81,73,1915,194,209,834,75,102,673,0.453,Boston,Jared Sullinger,Celtics,BOS,2016
239,0.624,383,10,0.233,43,138,28,83,327,249,0.585,426,69,0.57,121,79,76,1800,178,214,577,52,94,505,0.596,Boston,Amir Johnson,Celtics,BOS,2016
123,0.427,288,61,0.253,241,185,21,18,179,184,0.348,529,129,0.777,166,61,10,1667,76,183,558,91,80,255,0.405,Boston,Marcus Smart,Celtics,BOS,2016
168,0.486,346,85,0.405,210,105,24,33,209,253,0.455,556,96,0.75,128,69,8,1395,72,163,687,52,74,281,0.531,Boston,Kelly Olynyk,Celtics,BOS,2016
75,0.421,178,43,0.398,108,62,28,24,211,118,0.413,286,61,0.782,78,78,0,1176,77,137,340,20,52,288,0.488,Boston,Jonas Jerebko,Celtics,BOS,2016
138,0.476,290,0,0.0,0,29,26,22,116,138,0.476,290,88,0.815,108,60,3,710,62,97,364,10,46,178,0.476,Boston,Tyler Zeller,Celtics,BOS,2016
87,0.455,191,0,0.0,1,54,32,13,89,87,0.453,192,40,0.784,51,30,4,470,41,51,214,12,38,130,0.453,Boston,David Lee,Celtics,BOS,2016
17,0.486,35,19,0.302,63,13,22,4,35,36,0.367,98,6,0.857,7,36,0,315,2,29,97,14,11,37,0.464,Boston,R.J. Hunter,Celtics,BOS,2016
23,0.291,79,6,0.222,27,37,21,1,39,29,0.274,106,8,0.8,10,39,0,311,24,23,72,6,19,63,0.302,Boston,Terry Rozier,Celtics,BOS,2016
5,0.5,10,6,0.231,26,9,20,1,22,11,0.306,36,1,0.25,4,29,0,199,4,17,29,6,5,26,0.389,Boston,James Young,Celtics,BOS,2016
8,0.364,22,0,0.0,0,1,21,11,7,8,0.364,22,5,0.5,10,16,0,57,6,5,21,0,1,13,0.364,Boston,Jordan Mickey,Celtics,BOS,2016
0,0.0,2,2,1.0,2,0,23,0,1,2,0.5,4,0,0.0,0,3,0,6,0,0,6,0,1,1,0.75,Boston,Coty Clarke,Celtics,BOS,2016
121,0.42,288,149,0.38,392,99,24,24,218,270,0.397,680,69,0.719,96,77,17,2154,54,187,758,36,76,272,0.507,Philadelphia,Hollis Thompson,76ers,PHI,2016
216,0.477,453,35,0.24,146,135,21,127,262,251,0.419,599,212,0.658,322,77,52,2066,99,215,749,54,110,361,0.448,Philadelphia,Jerami Grant,76ers,PHI,2016
84,0.354,237,176,0.363,485,137,24,12,154,260,0.36,722,150,0.833,180,77,39,1966,20,133,846,56,91,174,0.482,Philadelphia,Isaiah Canaan,76ers,PHI,2016
305,0.521,585,1,0.5,2,122,21,100,388,306,0.521,587,134,0.59,227,67,62,1965,154,192,747,118,158,542,0.522,Philadelphia,Nerlens Noel,76ers,PHI,2016
104,0.452,230,170,0.353,482,97,25,40,354,274,0.385,712,140,0.791,177,67,49,1903,65,232,858,105,143,419,0.504,Philadelphia,Robert Covington,76ers,PHI,2016
104,0.473,220,106,0.326,325,138,22,20,160,210,0.385,545,91,0.771,118,73,35,1809,23,115,617,44,94,183,0.483,Philadelphia,Nik Stauskas,76ers,PHI,2016
253,0.42,602,46,0.336,137,348,27,18,184,299,0.405,739,89,0.669,133,50,50,1622,29,95,733,64,130,213,0.436,Philadelphia,Ish Smith,76ers,PHI,2016
187,0.499,375,31,0.348,89,367,23,10,207,218,0.47,464,26,0.634,41,81,17,1606,43,114,493,95,140,250,0.503,Philadelphia,T.J. McConnell,76ers,PHI,2016
396,0.511,775,1,0.167,6,65,20,61,251,397,0.508,781,133,0.686,194,53,48,1591,122,140,928,22,124,373,0.509,Philadelphia,Jahlil Okafor,76ers,PHI,2016
106,0.596,178,8,0.182,44,33,22,40,73,114,0.514,222,51,0.689,74,51,1,702,62,92,287,19,32,135,0.532,Philadelphia,Richaun Holmes,76ers,PHI,2016
80,0.476,168,6,0.176,34,30,22,16,99,86,0.426,202,62,0.639,97,47,18,691,30,91,240,11,51,129,0.441,Philadelphia,JaKarr Sampson,76ers,PHI,2016
133,0.561,237,6,0.462,13,32,32,9,97,139,0.556,250,67,0.736,91,36,12,569,49,69,351,12,22,146,0.568,Philadelphia,Carl Landry,76ers,PHI,2016
27,0.391,69,16,0.327,49,73,24,2,26,43,0.364,118,9,0.692,13,30,6,400,2,30,111,16,43,28,0.432,Philadelphia,Kendall Marshall,76ers,PHI,2016
31,0.437,71,0,0.0,1,18,36,8,54,31,0.431,72,8,0.889,9,17,1,225,9,32,70,9,11,63,0.431,Philadelphia,Elton Brand,76ers,PHI,2016
17,0.405,42,4,0.308,13,46,24,1,23,21,0.382,55,9,0.5,18,14,0,170,0,14,55,11,19,23,0.418,Philadelphia,Phil Pressey,76ers,PHI,2016
18,0.429,42,4,0.364,11,3,20,7,25,22,0.415,53,13,0.619,21,17,0,145,13,11,61,5,2,38,0.453,Philadelphia,Christian Wood,76ers,PHI,2016
19,0.396,48,3,0.176,17,20,22,0,19,22,0.338,65,20,0.541,37,8,3,144,2,11,67,3,29,21,0.362,Philadelphia,Tony Wroten,76ers,PHI,2016
5,0.417,12,2,0.222,9,2,29,0,11,7,0.333,21,1,0.5,2,7,0,78,1,7,17,0,4,12,0.381,Philadelphia,Sonny Weems,76ers,PHI,2016
589,0.515,1143,2,0.143,14,147,27,124,369,591,0.511,1157,317,0.787,403,73,73,2457,204,215,1501,58,175,573,0.512,Brooklyn,Brook Lopez,Nets,BRK,2016
488,0.523,933,7,0.233,30,135,27,37,484,495,0.514,963,105,0.644,163,73,73,2407,176,182,1102,112,136,660,0.518,Brooklyn,Thaddeus Young,Nets,BRK,2016
195,0.474,411,129,0.382,338,99,26,5,219,324,0.433,749,110,0.833,132,79,39,2115,36,119,887,29,115,255,0.519,Brooklyn,Bojan Bogdanović,Nets,BRK,2016
162,0.427,379,85,0.371,229,232,34,2,190,247,0.406,608,92,0.852,108,57,57,1934,34,100,671,40,116,224,0.476,Brooklyn,Joe Johnson,Nets,BRK,2016
183,0.464,394,39,0.361,108,342,23,12,152,222,0.442,502,83,0.776,107,78,17,1751,28,121,566,95,146,180,0.481,Brooklyn,Shane Larkin,Nets,BRK,2016
122,0.416,293,96,0.358,268,83,28,5,154,218,0.389,561,54,0.857,63,76,41,1615,20,82,586,48,45,174,0.474,Brooklyn,Wayne Ellington,Nets,BRK,2016
116,0.462,251,38,0.384,99,268,28,4,156,154,0.44,350,78,0.75,104,61,33,1318,17,73,424,32,80,173,0.494,Brooklyn,Donald Sloan,Nets,BRK,2016
109,0.426,256,31,0.304,102,236,32,7,127,140,0.391,358,100,0.893,112,32,32,1027,9,77,411,34,94,136,0.434,Brooklyn,Jarrett Jack,Nets,BRK,2016
89,0.443,201,38,0.314,121,91,24,15,99,127,0.394,322,71,0.755,94,62,6,982,23,94,363,38,54,122,0.453,Brooklyn,Markel Brown,Nets,BRK,2016
130,0.448,290,0,0.0,1,46,24,36,223,130,0.447,291,47,0.431,109,71,7,917,136,111,307,39,69,359,0.447,Brooklyn,Thomas Robinson,Nets,BRK,2016
124,0.471,263,3,0.188,16,18,30,9,69,127,0.455,279,47,0.825,57,46,0,634,28,61,304,4,26,97,0.461,Brooklyn,Andrea Bargnani,Nets,BRK,2016
59,0.476,124,4,0.286,14,43,21,16,115,63,0.457,138,37,0.712,52,29,17,615,39,61,167,39,26,154,0.471,Brooklyn,Rondae Hollis-Jefferson,Nets,BRK,2016
80,0.526,152,35,0.361,97,26,26,2,40,115,0.462,249,53,0.898,59,23,0,534,10,30,318,10,27,50,0.532,Brooklyn,Sean Kilpatrick,Nets,BRK,2016
76,0.571,133,0,0.0,0,10,25,30,73,76,0.571,133,30,0.545,55,39,2,426,49,47,182,6,16,122,0.571,Brooklyn,Willie Reed,Nets,BRK,2016
19,0.514,37,11,0.297,37,35,22,2,50,30,0.405,74,26,0.929,28,40,5,399,8,27,97,6,22,58,0.48,Brooklyn,Sergey Karasev,Nets,BRK,2016
31,0.413,75,13,0.382,34,9,20,12,43,44,0.404,109,11,0.478,23,24,4,362,25,39,112,28,15,68,0.463,Brooklyn,Chris McCullough,Nets,BRK,2016
33,0.429,77,0,0.0,0,9,25,14,51,33,0.429,77,25,0.833,30,14,4,263,21,37,91,9,12,72,0.429,Brooklyn,Henry Sims,Nets,BRK,2016
462,0.463,997,105,0.339,310,299,31,38,458,567,0.434,1307,334,0.829,403,72,72,2530,98,180,1573,62,176,556,0.474,New York,Carmelo Anthony,Knicks,NYK,2016
263,0.469,561,91,0.382,238,144,30,10,243,354,0.443,799,110,0.84,131,71,57,2371,23,142,909,25,82,266,0.5,New York,Arron Afflalo,Knicks,NYK,2016
357,0.54,661,0,0.0,1,114,27,129,334,357,0.539,662,128,0.795,161,82,82,2219,268,182,842,16,133,602,0.539,New York,Robin Lopez,Knicks,NYK,2016
292,0.454,643,81,0.333,243,94,20,134,394,373,0.421,886,201,0.838,240,72,72,2047,132,205,1028,53,121,526,0.467,New York,Kristaps Porziņģis,Knicks,NYK,2016
154,0.423,364,77,0.344,224,207,24,22,245,231,0.393,588,86,0.754,114,82,7,2033,43,177,625,77,61,288,0.458,New York,Langston Galloway,Knicks,NYK,2016
125,0.496,252,84,0.414,203,298,34,7,207,209,0.459,455,42,0.875,48,72,72,2024,22,135,544,63,87,229,0.552,New York,José Calderón,Knicks,NYK,2016
210,0.506,415,44,0.293,150,75,24,9,249,254,0.45,565,194,0.758,256,80,9,1435,47,69,746,29,61,296,0.488,New York,Derrick Williams,Knicks,NYK,2016
125,0.458,273,44,0.404,109,53,27,7,97,169,0.442,382,102,0.857,119,59,5,1313,34,109,484,22,57,131,0.5,New York,Lance Thomas,Knicks,NYK,2016
132,0.454,291,22,0.22,100,177,23,10,120,154,0.394,391,96,0.78,123,76,6,1265,23,97,426,50,87,143,0.422,New York,Jerian Grant,Knicks,NYK,2016
54,0.403,134,52,0.364,143,84,31,5,123,106,0.383,277,32,0.821,39,61,25,908,26,83,296,34,44,149,0.477,New York,Sasha Vujačić,Knicks,NYK,2016
124,0.498,249,5,0.227,22,72,25,49,174,129,0.476,271,46,0.767,60,65,1,764,76,107,309,20,61,250,0.485,New York,Kyle O'Quinn,Knicks,NYK,2016
84,0.414,203,0,0.0,2,47,26,36,95,84,0.41,205,19,0.826,23,48,0,526,31,67,187,8,43,126,0.41,New York,Kevin Séraphin,Knicks,NYK,2016
19,0.358,53,0,0.0,0,12,33,7,26,19,0.358,53,14,0.519,27,29,0,204,23,44,52,6,15,49,0.358,New York,Lou Amundson,Knicks,NYK,2016
8,0.32,25,4,0.267,15,6,24,3,22,12,0.3,40,3,0.75,4,17,2,154,4,16,31,2,9,26,0.35,New York,Cleanthony Early,Knicks,NYK,2016
3,1.0,3,0,0.0,1,0,23,0,1,3,0.75,4,0,0.0,0,2,0,6,0,2,6,0,0,1,0.75,New York,Thanasis Antetokounmpo,Knicks,NYK,2016
0,0.0,0,1,1.0,1,0,26,0,0,1,1.0,1,4,0.8,5,2,0,5,0,1,7,0,1,0,1.5,New York,Jimmer Fredette,Knicks,NYK,2016
364,0.466,781,143,0.396,361,331,24,19,258,507,0.444,1142,277,0.888,312,79,79,2852,44,204,1434,131,180,302,0.507,Milwaukee,Khris Middleton,Bucks,MIL,2016
485,0.537,904,28,0.257,109,345,21,113,499,513,0.506,1013,296,0.724,409,80,79,2823,113,258,1350,94,208,612,0.52,Milwaukee,Giannis Antetokounmpo,Bucks,MIL,2016
434,0.502,864,9,0.257,35,130,20,29,272,443,0.493,899,175,0.768,228,76,72,2408,123,154,1070,69,116,395,0.498,Milwaukee,Jabari Parker,Bucks,MIL,2016
491,0.522,940,0,0.0,1,178,25,67,478,491,0.522,941,228,0.74,308,79,67,2314,218,163,1210,72,129,696,0.522,Milwaukee,Greg Monroe,Bucks,MIL,2016
236,0.472,500,15,0.273,55,281,24,41,228,251,0.452,555,106,0.654,162,54,37,1649,48,162,623,80,153,276,0.466,Milwaukee,Michael Carter-Williams,Bucks,MIL,2016
84,0.408,206,101,0.437,231,163,27,11,120,185,0.423,437,70,0.778,90,52,18,1505,21,111,541,47,73,141,0.539,Milwaukee,Jerryd Bayless,Bucks,MIL,2016
67,0.421,159,52,0.321,162,118,28,8,92,119,0.371,321,31,0.775,40,41,24,1090,13,126,321,48,72,105,0.452,Milwaukee,O.J. Mayo,Bucks,MIL,2016
38,0.319,119,43,0.293,147,39,19,16,77,81,0.305,266,12,0.8,15,70,6,1001,11,73,217,29,28,88,0.385,Milwaukee,Rashad Vaughn,Bucks,MIL,2016
164,0.566,290,0,0.0,1,54,25,109,134,164,0.564,291,69,0.59,117,57,1,960,87,131,397,18,64,221,0.564,Milwaukee,John Henson,Bucks,MIL,2016
140,0.601,233,0,0.0,0,16,27,50,138,140,0.601,233,34,0.576,59,61,14,870,94,73,314,21,40,232,0.601,Milwaukee,Miles Plumlee,Bucks,MIL,2016
