Two_P,Two_PP,Two_PA,Three_P,Three_PP,Three_PA,AST,Age,BLK,DRB,FG,FGP,FGA,FT,FTP,FTA,G,GS,MP,ORB,PF,PTS,STL,TOV,TRB,eFGP,place,name,team,team_abbr,year
85,0.409,208,1,1.0,1,32,22,8,111,86,0.411,209,27,0.675,40,66,4,857,65,100,200,18,31,176,0.414,Milwaukee,Johnny O'Bryant,Bucks,MIL,2016
71,0.48,148,13,0.333,39,95,21,1,62,84,0.449,187,25,0.735,34,46,7,654,13,64,206,25,46,75,0.484,Milwaukee,Tyler Ennis,Bucks,MIL,2016
27,0.415,65,18,0.247,73,91,29,0,42,45,0.326,138,22,0.846,26,23,0,460,5,42,130,10,40,47,0.391,Milwaukee,Greivis Vásquez,Bucks,MIL,2016
10,0.417,24,3,0.231,13,10,20,3,29,13,0.351,37,7,0.875,8,20,1,156,2,11,36,6,11,31,0.392,Milwaukee,Damien Inglis,Bucks,MIL,2016
7,0.467,15,10,0.278,36,11,31,0,9,17,0.333,51,6,0.857,7,24,1,156,1,17,50,2,6,10,0.431,Milwaukee,Chris Copeland,Bucks,MIL,2016
2,0.286,7,2,0.286,7,1,24,0,9,4,0.286,14,6,0.857,7,4,0,55,0,4,16,2,3,9,0.357,Milwaukee,Jared Cunningham,Bucks,MIL,2016
0,0.0,0,2,0.333,6,0,32,0,1,2,0.333,6,1,1.0,1,3,0,20,0,2,7,0,0,1,0.5,Milwaukee,Steve Novak,Bucks,MIL,2016
395,0.447,883,210,0.371,566,329,25,29,484,605,0.418,1449,454,0.86,528,81,81,2819,79,230,1874,152,265,563,0.49,Indiana,Paul George,Pacers,IND,2016
349,0.472,739,87,0.309,282,383,30,37,229,436,0.427,1021,162,0.786,206,81,81,2734,42,174,1121,150,203,271,0.47,Indiana,Monta Ellis,Pacers,IND,2016
198,0.466,425,128,0.408,314,259,29,17,240,326,0.441,739,114,0.76,150,74,73,2524,58,149,894,83,101,298,0.528,Indiana,George Hill,Pacers,IND,2016
264,0.589,448,0,0.0,0,104,29,75,369,264,0.589,448,132,0.587,225,71,71,1816,138,220,660,65,100,507,0.589,Indiana,Ian Mahinmi,Pacers,IND,2016
191,0.516,370,0,0.0,0,76,26,42,262,191,0.516,370,46,0.63,73,79,28,1599,162,147,428,26,69,424,0.516,Indiana,Lavoy Allen,Pacers,IND,2016
278,0.507,548,0,0.0,1,87,28,37,295,278,0.506,549,89,0.712,125,73,11,1513,156,155,645,36,92,451,0.506,Indiana,Jordan Hill,Pacers,IND,2016
117,0.474,247,142,0.367,387,63,28,29,150,259,0.409,634,93,0.75,124,64,24,1464,25,142,753,53,70,175,0.521,Indiana,C.J. Miles,Pacers,IND,2016
261,0.506,516,3,0.214,14,41,19,86,264,264,0.498,530,88,0.727,121,60,30,1367,68,158,619,25,67,332,0.501,Indiana,Myles Turner,Pacers,IND,2016
163,0.453,360,20,0.241,83,142,29,8,137,183,0.413,443,131,0.829,158,58,1,1275,19,77,517,43,76,156,0.436,Indiana,Rodney Stuckey,Pacers,IND,2016
69,0.515,134,24,0.324,74,57,24,11,127,93,0.447,208,36,0.857,42,59,3,866,39,68,246,37,33,166,0.505,Indiana,Solomon Hill,Pacers,IND,2016
61,0.488,125,20,0.29,69,49,27,9,90,81,0.418,194,34,0.708,48,49,2,729,31,46,216,29,31,121,0.469,Indiana,Chase Budinger,Pacers,IND,2016
51,0.447,114,14,0.378,37,26,22,9,56,65,0.43,151,27,0.692,39,45,4,508,12,21,171,17,18,68,0.477,Indiana,Glenn Robinson,Pacers,IND,2016
52,0.423,123,10,0.217,46,65,23,0,44,62,0.367,169,20,0.8,25,41,0,384,6,30,154,15,33,50,0.396,Indiana,Joe Young,Pacers,IND,2016
23,0.434,53,5,0.357,14,57,28,1,25,28,0.418,67,3,0.5,6,13,1,235,6,16,64,10,13,31,0.455,Indiana,Ty Lawson,Pacers,IND,2016
5,0.556,9,0,0.0,2,3,24,1,7,5,0.455,11,1,0.5,2,7,0,41,5,7,11,1,5,12,0.455,Indiana,Shayne Whittington,Pacers,IND,2016
2,1.0,2,0,0.0,0,0,24,0,0,2,1.0,2,0,0.0,0,1,0,6,1,1,4,0,0,1,1.0,Indiana,Rakeem Christmas,Pacers,IND,2016
406,0.489,830,64,0.312,205,321,26,43,279,470,0.454,1035,395,0.832,475,67,67,2474,79,124,1399,110,132,358,0.485,Chicago,Jimmy Butler,Bulls,CHI,2016
443,0.478,926,24,0.348,69,294,35,146,638,467,0.469,995,229,0.792,289,72,72,2291,155,148,1187,42,164,793,0.481,Chicago,Pau Gasol,Bulls,CHI,2016
403,0.449,898,44,0.293,150,311,27,14,179,447,0.427,1048,142,0.793,179,66,66,2097,46,84,1080,44,175,225,0.448,Chicago,Derrick Rose,Bulls,CHI,2016
263,0.529,497,0,0.0,3,106,30,77,298,263,0.526,500,101,0.692,146,73,55,1936,206,180,627,47,78,504,0.526,Chicago,Taj Gibson,Bulls,CHI,2016
181,0.47,385,110,0.425,259,59,24,6,158,291,0.452,644,72,0.857,84,81,4,1861,37,127,764,14,53,195,0.537,Chicago,Doug McDermott,Bulls,CHI,2016
113,0.43,263,135,0.39,346,100,24,46,304,248,0.407,609,146,0.807,181,66,38,1646,58,151,777,58,102,362,0.518,Chicago,Nikola Mirotić,Bulls,CHI,2016
70,0.38,184,56,0.361,155,63,24,17,180,126,0.372,339,30,0.909,33,64,33,1301,19,100,338,16,52,199,0.454,Chicago,Tony Snell,Bulls,CHI,2016
140,0.491,285,47,0.452,104,99,26,18,114,187,0.481,389,22,0.629,35,59,22,1263,19,103,443,37,53,133,0.541,Chicago,E'Twaun Moore,Bulls,CHI,2016
122,0.43,284,66,0.357,185,180,31,10,80,188,0.401,469,49,0.766,64,69,0,1108,21,132,491,30,82,101,0.471,Chicago,Aaron Brooks,Bulls,CHI,2016
170,0.443,384,16,0.308,52,52,20,22,214,186,0.427,436,48,0.727,66,62,4,1102,123,100,436,25,54,337,0.445,Chicago,Bobby Portis,Bulls,CHI,2016
38,0.427,89,39,0.394,99,39,35,10,75,77,0.41,188,29,0.784,37,31,30,703,8,66,222,14,26,83,0.513,Chicago,Mike Dunleavy,Bulls,CHI,2016
51,0.386,132,0,0.0,1,110,30,29,168,51,0.383,133,22,0.489,45,29,2,635,87,77,124,18,52,255,0.383,Chicago,Joakim Noah,Bulls,CHI,2016
24,0.387,62,23,0.411,56,59,35,1,51,47,0.398,118,15,0.938,16,35,7,555,7,63,132,13,27,58,0.496,Chicago,Kirk Hinrich,Bulls,CHI,2016
38,0.4,95,26,0.433,60,45,26,15,55,64,0.413,155,22,0.815,27,27,4,510,8,40,176,19,26,63,0.497,Chicago,Justin Holiday,Bulls,CHI,2016
40,0.588,68,0,0.0,4,26,23,13,72,40,0.556,72,25,0.714,35,31,4,321,30,31,105,6,13,102,0.556,Chicago,Cristiano Felício,Bulls,CHI,2016
12,0.343,35,1,0.2,5,6,25,3,24,13,0.325,40,7,0.875,8,18,2,103,4,19,34,2,4,28,0.338,Chicago,Cameron Bairstow,Bulls,CHI,2016
302,0.467,647,108,0.362,298,201,26,23,313,410,0.434,945,203,0.749,271,80,80,2856,91,170,1131,67,140,404,0.491,Detroit,Marcus Morris,Pistons,DET,2016
289,0.489,591,114,0.309,369,138,22,17,212,403,0.42,960,185,0.811,228,76,76,2789,70,167,1105,110,105,282,0.479,Detroit,Kentavious Caldwell-Pope,Pistons,DET,2016
550,0.522,1054,2,0.333,6,67,22,112,803,552,0.521,1060,208,0.355,586,81,81,2666,395,245,1314,119,155,1198,0.522,Detroit,Andre Drummond,Pistons,DET,2016
422,0.464,910,118,0.353,334,492,25,11,195,540,0.434,1244,291,0.864,337,79,79,2424,58,187,1489,59,223,253,0.482,Detroit,Reggie Jackson,Pistons,DET,2016
162,0.41,395,63,0.307,205,118,19,12,248,225,0.375,600,80,0.784,102,73,6,1687,58,178,593,55,114,306,0.428,Detroit,Stanley Johnson,Pistons,DET,2016
138,0.471,293,78,0.363,215,55,28,27,183,216,0.425,508,79,0.725,109,52,52,1434,99,120,589,38,59,282,0.502,Detroit,Ersan İlyasova,Pistons,DET,2016
30,0.5,60,98,0.36,272,52,30,16,190,128,0.386,332,29,0.617,47,72,5,1341,39,86,383,26,28,229,0.533,Detroit,Anthony Tolliver,Pistons,DET,2016
194,0.508,382,0,0.0,2,51,29,52,244,194,0.505,384,126,0.764,165,81,1,1233,140,151,514,21,67,384,0.505,Detroit,Aron Baynes,Pistons,DET,2016
41,0.461,89,52,0.344,151,200,35,5,80,93,0.388,240,16,0.8,20,58,2,986,9,70,254,24,81,89,0.496,Detroit,Steve Blake,Pistons,DET,2016
133,0.512,260,33,0.375,88,70,23,12,143,166,0.477,348,82,0.911,90,27,25,903,25,62,447,18,30,168,0.524,Detroit,Tobias Harris,Pistons,DET,2016
21,0.467,45,22,0.415,53,27,24,2,54,43,0.439,98,14,0.933,15,37,0,429,14,29,122,10,8,68,0.551,Detroit,Reggie Bullock,Pistons,DET,2016
29,0.439,66,24,0.312,77,70,26,2,41,53,0.371,143,27,0.711,38,23,1,416,5,24,157,11,22,46,0.455,Detroit,Brandon Jennings,Pistons,DET,2016
33,0.407,81,19,0.38,50,27,22,1,40,52,0.397,131,29,0.725,40,38,2,383,5,28,152,9,19,45,0.469,Detroit,Darrun Hilliard,Pistons,DET,2016
18,0.409,44,1,0.1,10,22,22,0,13,19,0.352,54,19,0.576,33,12,0,159,4,20,58,3,7,17,0.361,Detroit,Spencer Dinwiddie,Pistons,DET,2016
6,0.6,10,0,0.0,0,1,33,12,13,6,0.6,10,6,0.75,8,19,0,96,8,15,18,2,2,21,0.6,Detroit,Joel Anthony,Pistons,DET,2016
3,0.273,11,4,0.444,9,3,28,0,4,7,0.35,20,4,1.0,4,3,0,43,1,2,22,0,1,5,0.45,Detroit,Jodie Meeks,Pistons,DET,2016
0,0.0,1,4,0.444,9,0,26,0,1,4,0.4,10,1,0.5,2,5,0,35,0,3,13,1,2,1,0.6,Detroit,Justin Harper,Pistons,DET,2016
650,0.573,1134,87,0.309,282,514,31,49,454,737,0.52,1416,359,0.731,491,76,76,2709,111,143,1920,104,249,565,0.551,Cleveland,LeBron James,Cavaliers,CLE,2016
251,0.467,538,158,0.36,439,186,27,41,613,409,0.419,977,258,0.822,314,77,77,2424,149,159,1234,58,142,762,0.499,Cleveland,Kevin Love,Cavaliers,CLE,2016
149,0.438,340,204,0.4,510,130,30,21,174,353,0.415,850,45,0.634,71,77,77,2362,43,204,955,81,59,217,0.535,Cleveland,J.R. Smith,Cavaliers,CLE,2016
247,0.588,420,0,0.0,0,62,24,51,470,247,0.588,420,149,0.616,242,82,34,2269,268,202,643,38,61,738,0.588,Cleveland,Tristan Thompson,Cavaliers,CLE,2016
109,0.401,272,98,0.41,239,337,25,9,129,207,0.405,511,57,0.864,66,76,14,1867,33,178,569,44,116,162,0.501,Cleveland,Matthew Dellavedova,Cavaliers,CLE,2016
310,0.502,617,84,0.321,262,249,23,18,113,394,0.448,879,169,0.885,191,53,53,1667,44,107,1041,56,124,157,0.496,Cleveland,Kyrie Irving,Cavaliers,CLE,2016
