name,Age,G,GS,MP,FG,FGA,FGP,Three_P,Three_PA,Three_PP,Two_P,Two_PA,Two_PP,eFGP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year,place,team,team_abbr
DeMar DeRozan,22,63,63,2206,381,903,0.422,24,92,0.261,357,811,0.44,0.435,268,331,0.81,40,171,211,128,48,17,123,162,1054,2012,Toronto,Raptors,TOR
José Calderón,30,53,53,1799,218,477,0.457,59,159,0.371,159,318,0.5,0.519,60,68,0.882,19,141,160,468,47,3,104,94,555,2012,Toronto,Raptors,TOR
James Johnson,24,62,40,1561,233,518,0.45,19,60,0.317,214,458,0.467,0.468,81,115,0.704,74,218,292,122,71,84,101,177,566,2012,Toronto,Raptors,TOR
Amir Johnson,24,64,43,1553,196,340,0.576,2,5,0.4,194,335,0.579,0.579,58,84,0.69,149,259,408,79,33,69,94,209,452,2012,Toronto,Raptors,TOR
Ed Davis,22,66,9,1534,172,335,0.513,0,1,0.0,172,334,0.515,0.513,71,106,0.67,134,304,438,60,40,63,67,156,415,2012,Toronto,Raptors,TOR
Linas Kleiza,27,49,3,1057,165,410,0.402,62,179,0.346,103,231,0.446,0.478,81,100,0.81,42,157,199,46,23,4,64,119,473,2012,Toronto,Raptors,TOR
Andrea Bargnani,26,31,31,1032,209,484,0.432,34,115,0.296,175,369,0.474,0.467,151,173,0.873,24,148,172,61,18,15,69,52,603,2012,Toronto,Raptors,TOR
Leandro Barbosa,29,42,0,946,198,454,0.436,40,111,0.36,158,343,0.461,0.48,76,91,0.835,21,58,79,63,36,7,68,101,512,2012,Toronto,Raptors,TOR
Aaron Gray,27,49,40,813,83,161,0.516,0,0,0.0,83,161,0.516,0.516,25,47,0.532,83,198,281,27,22,17,51,127,191,2012,Toronto,Raptors,TOR
Gary Forbes,26,48,2,713,112,271,0.413,29,83,0.349,83,188,0.441,0.467,66,91,0.725,27,75,102,54,24,4,54,56,319,2012,Toronto,Raptors,TOR
Jerryd Bayless,23,31,11,705,117,276,0.424,44,104,0.423,73,172,0.424,0.504,75,88,0.852,8,58,66,118,24,4,53,70,353,2012,Toronto,Raptors,TOR
Alan Anderson,29,17,12,461,55,142,0.387,24,61,0.393,31,81,0.383,0.472,29,34,0.853,8,26,34,26,5,3,25,35,163,2012,Toronto,Raptors,TOR
Rasual Butler,32,34,14,453,41,133,0.308,21,77,0.273,20,56,0.357,0.387,7,12,0.583,6,60,66,19,7,5,15,39,110,2012,Toronto,Raptors,TOR
Jamaal Magloire,33,34,1,374,17,45,0.378,0,0,0.0,17,45,0.378,0.378,7,27,0.259,25,88,113,6,4,10,22,66,41,2012,Toronto,Raptors,TOR
Ben Uzoh,23,16,8,357,33,94,0.351,0,1,0.0,33,93,0.355,0.351,11,19,0.579,17,46,63,59,16,3,19,30,77,2012,Toronto,Raptors,TOR
Anthony Carter,36,24,0,209,17,53,0.321,5,17,0.294,12,36,0.333,0.368,8,10,0.8,5,28,33,34,8,4,17,20,47,2012,Toronto,Raptors,TOR
Solomon Alabi,23,14,0,122,13,36,0.361,0,0,0.0,13,36,0.361,0.361,7,8,0.875,15,32,47,3,2,9,5,11,33,2012,Toronto,Raptors,TOR
Justin Dentmon,26,4,0,72,8,22,0.364,2,10,0.2,6,12,0.5,0.409,4,6,0.667,0,7,7,9,1,0,6,8,22,2012,Toronto,Raptors,TOR
Paul Pierce,34,61,61,2075,394,890,0.443,100,273,0.366,294,617,0.476,0.499,293,344,0.852,37,280,317,274,70,26,173,147,1181,2012,Boston,Celtics,BOS
Rajon Rondo,25,53,53,1957,256,572,0.448,10,42,0.238,246,530,0.464,0.456,108,181,0.597,62,195,257,620,95,3,193,99,630,2012,Boston,Celtics,BOS
Brandon Bass,26,59,39,1868,303,632,0.479,0,0,0.0,303,632,0.479,0.479,132,163,0.81,95,270,365,55,34,54,65,135,738,2012,Boston,Celtics,BOS
Kevin Garnett,35,60,60,1864,391,777,0.503,3,9,0.333,388,768,0.505,0.505,162,189,0.857,66,428,494,175,56,61,107,141,947,2012,Boston,Celtics,BOS
Ray Allen,36,46,42,1565,226,493,0.458,106,234,0.453,120,259,0.463,0.566,97,106,0.915,14,128,142,109,49,8,68,83,655,2012,Boston,Celtics,BOS
