Two_P,Two_PP,Two_PA,Three_P,Three_PP,Three_PA,AST,Age,BLK,DRB,FG,FGP,FGA,FT,FTP,FTA,G,GS,MP,ORB,PF,PTS,STL,TOV,TRB,eFGP,place,name,team,team_abbr,year
298,0.457,652,132,0.338,391,473,28,13,274,430,0.412,1043,252,0.808,312,70,70,2414,54,212,1244,109,173,328,0.476,Toronto,Kyle Lowry,Raptors,TOR,2015
135,0.536,252,105,0.371,283,155,25,44,306,240,0.449,535,63,0.788,80,81,4,2156,127,149,648,60,54,433,0.547,Toronto,Patrick Patterson,Raptors,TOR,2015
384,0.426,902,25,0.284,88,210,25,11,236,409,0.413,990,361,0.832,434,60,60,2100,41,122,1204,73,137,277,0.426,Toronto,DeMar DeRozan,Raptors,TOR,2015
373,0.573,651,0,0.0,1,39,22,95,478,373,0.572,652,217,0.786,276,80,80,2096,215,222,963,33,109,693,0.572,Toronto,Jonas Valančiūnas,Raptors,TOR,2015
164,0.452,363,145,0.372,390,86,23,25,194,309,0.41,753,44,0.786,56,82,61,2092,32,136,807,53,69,226,0.507,Toronto,Terrence Ross,Raptors,TOR,2015
223,0.464,481,152,0.34,447,164,28,10,127,375,0.404,928,340,0.861,395,80,0,2016,24,103,1242,88,101,151,0.486,Toronto,Lou Williams,Raptors,TOR,2015
163,0.436,374,133,0.379,351,302,28,10,194,296,0.408,725,50,0.758,66,82,29,1991,22,177,775,46,119,216,0.5,Toronto,Greivis Vásquez,Raptors,TOR,2015
279,0.59,473,19,0.413,46,117,27,59,297,298,0.574,519,79,0.612,129,75,72,1979,159,225,694,44,110,456,0.592,Toronto,Amir Johnson,Raptors,TOR,2015
227,0.643,353,11,0.216,51,95,27,70,196,238,0.589,404,67,0.657,102,70,17,1370,61,155,554,54,79,257,0.603,Toronto,James Johnson,Raptors,TOR,2015
85,0.538,158,1,0.143,7,21,29,15,159,86,0.521,165,97,0.698,139,74,8,1058,106,141,270,30,20,265,0.524,Toronto,Tyler Hansbrough,Raptors,TOR,2015
22,0.478,46,0,0.0,0,20,31,4,33,22,0.478,46,6,0.545,11,29,0,255,18,37,50,10,8,51,0.478,Toronto,Chuck Hayes,Raptors,TOR,2015
19,0.487,39,1,0.5,2,15,26,0,16,20,0.488,41,5,0.833,6,26,9,216,10,9,46,11,8,26,0.5,Toronto,Landry Fields,Raptors,TOR,2015
6,0.75,8,0,0.0,0,3,29,0,6,6,0.75,8,2,0.5,4,17,0,66,9,15,14,2,7,15,0.75,Toronto,Greg Stiemsma,Raptors,TOR,2015
