Two_P,Two_PP,Two_PA,Three_P,Three_PP,Three_PA,AST,Age,BLK,DRB,FG,FGP,FGA,FT,FTP,FTA,G,GS,MP,ORB,PF,PTS,STL,TOV,TRB,eFGP,place,name,team,team_abbr,year
2,0.222,9,2,0.667,3,0,19,1,1,4,0.333,12,0,0.0,0,8,0,23,1,3,10,0,4,2,0.417,Toronto,Bruno Caboclo,Raptors,TOR,2015
2,0.25,8,0,0.0,0,1,22,0,9,2,0.25,8,2,0.5,4,6,0,23,2,6,6,2,2,11,0.25,Toronto,Lucas Nogueira,Raptors,TOR,2015
310,0.47,660,124,0.352,352,135,24,15,195,434,0.429,1012,79,0.79,100,77,77,2428,46,177,1071,82,109,241,0.49,Boston,Avery Bradley,Celtics,BOS,2015
287,0.458,627,33,0.277,119,449,26,19,377,320,0.429,746,106,0.752,141,82,57,2260,40,180,779,83,198,417,0.451,Boston,Evan Turner,Celtics,BOS,2015
335,0.515,651,9,0.281,32,104,29,32,259,344,0.504,683,169,0.79,214,82,43,1929,139,140,866,41,83,398,0.51,Boston,Brandon Bass,Celtics,BOS,2015
84,0.41,205,91,0.335,272,208,20,18,161,175,0.367,477,82,0.646,127,67,38,1808,61,176,523,99,90,222,0.462,Boston,Marcus Smart,Celtics,BOS,2015
340,0.549,619,0,0.0,0,113,25,52,319,340,0.549,619,153,0.823,186,82,59,1731,146,205,833,18,76,465,0.549,Boston,Tyler Zeller,Celtics,BOS,2015
259,0.494,524,52,0.283,184,134,22,42,294,311,0.439,708,96,0.744,129,58,49,1566,147,153,770,44,78,441,0.476,Boston,Jared Sullinger,Celtics,BOS,2015
190,0.538,353,61,0.349,175,109,23,39,211,251,0.475,528,93,0.684,136,64,13,1423,92,213,656,64,98,303,0.533,Boston,Kelly Olynyk,Celtics,BOS,2015
148,0.495,299,48,0.282,170,82,24,20,204,196,0.418,469,99,0.762,130,57,17,1382,60,111,539,57,39,264,0.469,Boston,Jae Crowder,Celtics,BOS,2015
159,0.495,321,47,0.305,154,53,28,13,120,206,0.434,475,121,0.84,144,33,33,1093,21,66,580,27,56,141,0.483,Boston,Jeff Green,Celtics,BOS,2015
73,0.435,168,8,0.25,32,237,28,3,140,81,0.405,200,12,0.333,36,22,22,699,25,42,182,37,75,165,0.425,Boston,Rajon Rondo,Celtics,BOS,2015
75,0.414,181,52,0.419,124,34,27,7,54,127,0.416,305,42,0.824,51,39,0,640,19,35,348,21,22,73,0.502,Boston,Marcus Thornton,Celtics,BOS,2015
48,0.44,109,16,0.246,65,117,23,6,67,64,0.368,174,33,0.673,49,50,0,600,13,54,177,30,41,80,0.414,Boston,Phil Pressey,Celtics,BOS,2015
69,0.473,146,48,0.345,139,113,25,0,37,117,0.411,285,118,0.861,137,21,0,545,7,45,400,12,54,44,0.495,Boston,Isaiah Thomas,Celtics,BOS,2015
52,0.444,117,26,0.406,64,30,27,7,94,78,0.431,181,25,0.833,30,29,0,527,46,58,207,19,18,140,0.503,Boston,Jonas Jerebko,Celtics,BOS,2015
19,0.528,36,17,0.258,66,13,19,2,33,36,0.353,102,16,0.552,29,31,0,332,9,22,105,8,5,42,0.436,Boston,James Young,Celtics,BOS,2015
13,0.419,31,1,0.333,3,11,32,4,40,14,0.412,34,6,0.4,15,32,0,286,17,19,35,15,18,57,0.426,Boston,Gerald Wallace,Celtics,BOS,2015
28,0.549,51,5,0.625,8,18,34,2,24,33,0.559,59,5,0.833,6,9,0,198,6,7,76,5,4,30,0.602,Boston,Tayshaun Prince,Celtics,BOS,2015
21,0.512,41,17,0.472,36,7,27,7,23,38,0.494,77,1,1.0,1,18,1,192,2,14,94,1,7,25,0.604,Boston,Luigi Datome,Celtics,BOS,2015
4,0.25,16,5,0.2,25,33,32,0,14,9,0.22,41,6,0.667,9,6,1,121,3,13,29,7,9,17,0.28,Boston,Jameer Nelson,Celtics,BOS,2015
12,0.571,21,0,0.0,0,8,27,5,10,12,0.571,21,2,0.5,4,8,0,86,7,4,26,1,5,17,0.571,Boston,Brandan Wright,Celtics,BOS,2015
3,0.333,9,0,0.0,1,1,31,1,8,3,0.3,10,1,0.5,2,5,0,25,4,3,7,1,1,12,0.3,Boston,Shavlik Randolph,Celtics,BOS,2015
4,0.8,5,0,0.0,0,0,23,0,1,4,0.8,5,1,0.5,2,5,0,9,0,1,9,2,2,1,0.8,Boston,Dwight Powell,Celtics,BOS,2015
302,0.462,653,0,0.0,0,128,20,142,426,302,0.462,653,140,0.609,230,75,71,2311,185,208,744,133,146,611,0.462,Philadelphia,Nerlens Noel,76ers,PHI,2015
132,0.426,310,167,0.374,446,105,24,31,251,299,0.396,756,178,0.82,217,70,49,1956,65,189,943,97,128,316,0.506,Philadelphia,Robert Covington,76ers,PHI,2015
189,0.435,434,62,0.307,202,106,28,21,246,251,0.395,636,96,0.589,163,67,61,1916,82,104,660,81,99,328,0.443,Philadelphia,Luc Mbah a Moute,76ers,PHI,2015
109,0.426,256,115,0.401,287,85,23,26,145,224,0.413,543,63,0.708,89,71,23,1776,53,141,626,57,66,198,0.518,Philadelphia,Hollis Thompson,76ers,PHI,2015
234,0.488,480,4,0.182,22,79,24,30,238,238,0.474,502,106,0.774,137,73,32,1399,121,135,586,39,99,359,0.478,Philadelphia,Henry Sims,76ers,PHI,2015
200,0.412,486,32,0.256,125,302,23,18,211,232,0.38,611,117,0.643,182,41,38,1391,43,103,613,60,174,254,0.406,Philadelphia,Michael Carter-Williams,76ers,PHI,2015
75,0.383,196,49,0.314,156,79,20,68,149,124,0.352,352,114,0.591,193,65,11,1377,49,144,411,40,85,198,0.422,Philadelphia,Jerami Grant,76ers,PHI,2015
124,0.456,272,43,0.293,147,70,21,68,131,167,0.399,419,99,0.756,131,52,15,1319,64,121,476,44,104,195,0.45,Philadelphia,K.J. McDaniels,76ers,PHI,2015
115,0.525,219,31,0.244,127,77,21,26,128,146,0.422,346,63,0.67,94,74,32,1131,35,135,386,38,76,163,0.467,Philadelphia,JaKarr Sampson,76ers,PHI,2015
138,0.473,292,37,0.261,142,157,21,8,64,175,0.403,434,120,0.667,180,30,15,895,22,72,507,48,113,86,0.446,Philadelphia,Tony Wroten,76ers,PHI,2015
111,0.416,267,17,0.309,55,152,26,5,63,128,0.398,322,28,0.583,48,25,14,677,10,38,301,32,69,73,0.424,Philadelphia,Ish Smith,76ers,PHI,2015
34,0.4,85,59,0.364,162,69,23,3,47,93,0.377,247,33,0.846,39,22,12,569,7,55,278,15,39,54,0.496,Philadelphia,Isaiah Canaan,76ers,PHI,2015
40,0.548,73,0,0.0,5,28,23,16,98,40,0.513,78,13,0.481,27,41,9,540,78,96,93,17,17,176,0.513,Philadelphia,Furkan Aldemir,76ers,PHI,2015
31,0.378,82,31,0.323,96,38,34,3,53,62,0.348,178,17,0.773,22,19,15,416,13,28,172,13,16,66,0.435,Philadelphia,Jason Richardson,76ers,PHI,2015
79,0.473,167,0,0.0,2,24,23,9,108,79,0.467,169,35,0.603,58,22,0,407,62,50,193,16,26,170,0.467,Philadelphia,Thomas Robinson,76ers,PHI,2015
42,0.472,89,7,0.233,30,28,23,4,38,49,0.412,119,21,0.636,33,20,6,379,35,54,126,17,25,73,0.441,Philadelphia,Brandon Davies,76ers,PHI,2015
35,0.479,73,17,0.298,57,46,26,1,14,52,0.4,130,48,0.842,57,17,0,285,8,21,169,14,18,22,0.465,Philadelphia,Alexey Shved,76ers,PHI,2015
16,0.5,32,4,0.154,26,45,24,0,14,20,0.345,58,2,0.667,3,12,1,219,1,13,46,6,25,15,0.379,Philadelphia,Larry Drew,76ers,PHI,2015
18,0.545,33,0,0.0,7,7,26,1,40,18,0.45,40,9,0.692,13,17,0,194,16,17,45,3,13,56,0.45,Philadelphia,Malcolm Thomas,76ers,PHI,2015
9,0.429,21,10,0.256,39,3,24,5,23,19,0.317,60,6,0.75,8,9,2,187,3,19,54,9,9,26,0.4,Philadelphia,Chris Johnson,76ers,PHI,2015
10,0.313,32,3,0.273,11,43,24,0,15,13,0.302,43,5,0.333,15,6,3,171,4,16,34,6,18,19,0.337,Philadelphia,Tim Frazier,76ers,PHI,2015
14,0.467,30,4,0.308,13,8,21,1,14,18,0.419,43,4,0.5,8,10,1,153,11,10,44,3,8,25,0.465,Philadelphia,Glenn Robinson,76ers,PHI,2015
8,0.5,16,0,0.0,3,2,24,0,11,8,0.421,19,1,0.5,2,9,0,71,7,7,17,1,8,18,0.421,Philadelphia,Drew Gordon,76ers,PHI,2015
8,0.444,18,0,0.0,0,2,27,1,9,8,0.444,18,2,0.5,4,6,0,61,4,2,18,0,5,13,0.444,Philadelphia,JaVale McGee,76ers,PHI,2015
0,0.0,1,0,0.0,0,0,24,0,0,0,0.0,1,0,0.0,0,1,0,2,0,0,0,0,0,0,0.0,Philadelphia,Malcolm Lee,76ers,PHI,2015
325,0.472,688,121,0.359,337,292,33,14,331,446,0.435,1025,141,0.801,176,80,80,2791,53,120,1154,59,137,384,0.494,Brooklyn,Joe Johnson,Nets,BRK,2015
320,0.477,671,39,0.267,146,373,31,13,226,359,0.439,817,200,0.881,227,80,27,2241,19,143,957,75,191,245,0.463,Brooklyn,Jarrett Jack,Nets,BRK,2015
211,0.395,534,87,0.367,237,448,30,17,208,298,0.387,771,201,0.834,241,68,55,2114,29,157,884,64,154,237,0.443,Brooklyn,Deron Williams,Nets,BRK,2015
505,0.517,977,1,0.1,10,50,26,126,321,506,0.513,987,223,0.814,274,72,44,2100,214,206,1236,43,104,535,0.513,Brooklyn,Brook Lopez,Nets,BRK,2015
170,0.531,320,91,0.355,256,68,25,9,163,261,0.453,576,87,0.821,106,78,28,1854,50,104,700,34,78,213,0.532,Brooklyn,Bojan Bogdanović,Nets,BRK,2015
122,0.53,230,73,0.348,210,83,32,5,173,195,0.443,440,82,0.812,101,74,19,1744,31,148,545,56,60,204,0.526,Brooklyn,Alan Anderson,Nets,BRK,2015
280,0.576,486,0,0.0,3,74,24,63,337,280,0.573,489,157,0.495,317,82,45,1743,175,207,717,65,106,512,0.573,Brooklyn,Mason Plumlee,Nets,BRK,2015
60,0.476,126,62,0.321,193,46,29,16,167,122,0.382,319,33,0.717,46,40,4,892,27,74,339,14,53,194,0.48,Brooklyn,Mirza Teletović,Nets,BRK,2015
124,0.461,269,1,0.167,6,69,38,13,239,125,0.455,275,34,0.829,41,42,42,854,46,96,285,41,45,285,0.456,Brooklyn,Kevin Garnett,Nets,BRK,2015
143,0.516,277,19,0.38,50,38,26,8,114,162,0.495,327,43,0.606,71,28,20,829,52,56,386,38,42,166,0.524,Brooklyn,Thaddeus Young,Nets,BRK,2015
59,0.404,146,17,0.266,64,39,23,12,91,76,0.362,210,47,0.825,57,47,29,781,16,57,216,31,27,107,0.402,Brooklyn,Markel Brown,Nets,BRK,2015
38,0.475,80,16,0.296,54,46,21,1,44,54,0.403,134,29,0.763,38,33,16,555,22,45,153,23,24,66,0.463,Brooklyn,Sergey Karasev,Nets,BRK,2015
73,0.48,152,2,0.133,15,16,24,21,98,75,0.449,167,31,0.574,54,50,1,531,47,61,183,10,20,145,0.455,Brooklyn,Cory Jefferson,Nets,BRK,2015
50,0.532,94,0,0.0,0,13,28,15,53,50,0.532,94,38,0.864,44,44,0,383,52,58,138,8,22,105,0.532,Brooklyn,Jerome Jordan,Nets,BRK,2015
29,0.397,73,7,0.212,33,48,24,0,20,36,0.34,106,4,0.444,9,38,0,299,7,20,83,9,21,27,0.373,Brooklyn,Darius Morris,Nets,BRK,2015
7,0.438,16,4,0.286,14,3,27,4,22,11,0.367,30,1,0.25,4,10,0,93,1,12,27,3,6,23,0.433,Brooklyn,Earl Clark,Nets,BRK,2015
7,0.538,13,0,0.0,1,7,26,0,7,7,0.5,14,2,0.667,3,10,0,44,0,9,16,1,3,7,0.5,Brooklyn,Jorge Gutiérrez,Nets,BRK,2015
5,0.357,14,1,0.25,4,2,23,3,7,6,0.333,18,3,0.75,4,7,0,44,3,5,16,1,4,10,0.361,Brooklyn,Brandon Davies,Nets,BRK,2015
0,0.0,5,0,0.0,0,1,33,0,6,0,0.0,5,3,0.75,4,7,0,36,2,1,3,1,1,8,0.0,Brooklyn,Andrei Kirilenko,Nets,BRK,2015
152,0.481,316,35,0.302,116,226,22,9,147,187,0.433,432,61,0.782,78,76,22,1865,29,150,470,93,83,176,0.473,New York,Shane Larkin,Knicks,NYK,2015
242,0.44,550,15,0.357,42,140,28,44,226,257,0.434,592,127,0.83,153,82,31,1785,98,205,656,32,104,324,0.447,New York,Jason Smith,Knicks,NYK,2015
158,0.435,363,121,0.342,354,127,22,14,144,279,0.389,717,125,0.801,156,70,30,1681,12,119,804,20,82,156,0.474,New York,Tim Hardaway,Knicks,NYK,2015
142,0.424,335,62,0.352,176,150,23,12,153,204,0.399,511,63,0.808,78,45,41,1457,37,129,533,52,61,190,0.46,New York,Langston Galloway,Knicks,NYK,2015
297,0.474,627,61,0.341,179,122,30,17,192,358,0.444,806,189,0.797,237,40,40,1428,72,87,966,40,89,264,0.482,New York,Carmelo Anthony,Knicks,NYK,2015
134,0.494,271,18,0.3,60,68,24,22,222,152,0.459,331,76,0.784,97,68,22,1287,79,147,398,27,60,301,0.486,New York,Quincy Acy,Knicks,NYK,2015
88,0.415,212,59,0.415,142,198,33,0,105,147,0.415,354,29,0.906,32,42,42,1270,19,76,382,31,75,124,0.499,New York,José Calderón,Knicks,NYK,2015
130,0.441,295,7,0.333,21,49,26,8,83,137,0.434,316,49,0.742,66,40,24,1040,37,63,330,26,57,120,0.445,New York,Lance Thomas,Knicks,NYK,2015
144,0.478,301,0,0.0,0,75,26,65,237,144,0.478,301,50,0.781,64,61,16,976,101,122,338,37,59,338,0.478,New York,Cole Aldrich,Knicks,NYK,2015
169,0.549,308,0,0.0,3,37,32,34,162,169,0.543,311,94,0.74,127,36,14,865,83,111,432,20,63,245,0.543,New York,Amar'e Stoudemire,Knicks,NYK,2015
105,0.434,242,0,0.0,1,65,32,52,159,105,0.432,243,38,0.463,82,41,35,858,89,115,248,21,57,248,0.432,New York,Lou Amundson,Knicks,NYK,2015
25,0.543,46,43,0.374,115,104,37,1,62,68,0.422,161,22,0.846,26,43,3,795,18,53,201,52,47,80,0.556,New York,Pablo Prigioni,Knicks,NYK,2015
149,0.466,320,15,0.366,41,46,29,27,95,164,0.454,361,87,0.813,107,29,22,785,32,53,430,2,42,127,0.475,New York,Andrea Bargnani,Knicks,NYK,2015
73,0.408,179,11,0.367,30,40,24,11,75,84,0.402,209,20,0.769,26,51,1,672,31,55,199,15,35,106,0.428,New York,Travis Wear,Knicks,NYK,2015
54,0.415,130,22,0.262,84,36,23,12,75,76,0.355,214,36,0.75,48,39,7,647,22,57,210,24,40,97,0.407,New York,Cleanthony Early,Knicks,NYK,2015
65,0.436,149,23,0.348,66,78,24,3,59,88,0.409,215,25,0.676,37,24,24,625,22,67,224,30,42,81,0.463,New York,Iman Shumpert,Knicks,NYK,2015
69,0.429,161,32,0.356,90,81,29,4,54,101,0.402,251,27,0.692,39,24,6,619,4,44,261,18,45,58,0.466,New York,J.R. Smith,Knicks,NYK,2015
57,0.438,130,0,0.0,0,29,33,41,115,57,0.438,130,14,0.7,20,32,21,544,53,70,128,14,39,168,0.438,New York,Samuel Dalembert,Knicks,NYK,2015
47,0.423,111,26,0.371,70,57,26,5,59,73,0.403,181,64,0.78,82,16,9,423,14,25,236,15,25,73,0.475,New York,Alexey Shved,Knicks,NYK,2015
22,0.333,66,10,0.417,24,18,22,1,19,32,0.356,90,15,0.75,20,12,0,233,15,20,89,6,24,34,0.411,New York,Ricky Ledo,Knicks,NYK,2015
376,0.511,736,7,0.159,44,207,20,85,442,383,0.491,780,257,0.741,347,81,71,2541,100,254,1030,73,173,542,0.496,Milwaukee,Giannis Antetokounmpo,Bucks,MIL,2015
297,0.494,601,109,0.407,268,182,23,11,299,406,0.467,869,134,0.859,156,79,58,2378,48,183,1055,122,113,347,0.53,Milwaukee,Khris Middleton,Bucks,MIL,2015
240,0.456,526,0,0.0,3,178,30,21,303,240,0.454,529,126,0.788,160,73,45,1730,197,170,606,80,133,500,0.454,Milwaukee,Zaza Pachulia,Bucks,MIL,2015
183,0.462,396,37,0.308,120,233,26,12,189,220,0.426,516,121,0.883,137,77,4,1717,22,163,598,59,133,211,0.462,Milwaukee,Jerryd Bayless,Bucks,MIL,2015
124,0.537,231,74,0.385,192,130,29,11,175,198,0.468,423,48,0.716,67,72,22,1717,45,113,518,72,62,220,0.556,Milwaukee,Jared Dudley,Bucks,MIL,2015
197,0.465,424,99,0.357,277,197,27,18,157,296,0.422,701,115,0.827,139,71,15,1697,30,165,806,57,128,187,0.493,Milwaukee,O.J. Mayo,Bucks,MIL,2015
220,0.448,491,104,0.409,254,281,23,9,195,324,0.435,745,171,0.881,194,52,52,1688,26,93,923,84,166,221,0.505,Milwaukee,Brandon Knight,Bucks,MIL,2015
189,0.515,367,74,0.389,190,56,27,19,197,263,0.472,557,69,0.645,107,58,36,1319,80,149,669,36,45,277,0.539,Milwaukee,Ersan İlyasova,Bucks,MIL,2015
196,0.566,346,0,0.0,0,59,24,135,188,196,0.566,346,78,0.569,137,67,11,1228,124,152,470,28,87,312,0.566,Milwaukee,John Henson,Bucks,MIL,2015
128,0.457,280,4,0.143,28,140,23,12,78,132,0.429,308,85,0.78,109,25,25,758,21,64,353,51,79,99,0.435,Milwaukee,Michael Carter-Williams,Bucks,MIL,2015
125,0.506,247,4,0.25,16,42,19,5,88,129,0.49,263,46,0.697,66,25,25,738,50,42,308,31,47,138,0.498,Milwaukee,Jabari Parker,Bucks,MIL,2015
86,0.5,172,0,0.0,0,23,26,39,99,86,0.5,172,24,0.5,48,27,26,586,67,104,196,26,28,166,0.5,Milwaukee,Larry Sanders,Bucks,MIL,2015
28,0.509,55,18,0.391,46,86,23,0,26,46,0.455,101,8,0.889,9,28,3,417,2,26,118,21,35,28,0.545,Milwaukee,Kendall Marshall,Bucks,MIL,2015
44,0.367,120,0,0.0,0,17,21,4,38,44,0.367,120,12,0.444,27,34,15,368,26,44,100,5,25,64,0.367,Milwaukee,Johnny O'Bryant,Bucks,MIL,2015
33,0.384,86,10,0.27,37,59,20,3,22,43,0.35,123,3,0.6,5,25,1,353,6,33,99,18,34,28,0.39,Milwaukee,Tyler Ennis,Bucks,MIL,2015
29,0.492,59,0,0.0,0,7,26,11,29,29,0.492,59,3,0.375,8,19,0,189,17,12,61,6,6,46,0.492,Milwaukee,Miles Plumlee,Bucks,MIL,2015
12,0.462,26,0,0.0,5,10,23,0,14,12,0.387,31,1,0.25,4,11,0,142,2,11,25,5,3,16,0.387,Milwaukee,Nate Wolters,Bucks,MIL,2015
15,0.6,25,0,0.0,2,15,26,0,13,15,0.556,27,7,0.7,10,10,1,131,5,16,37,5,9,18,0.556,Milwaukee,Jorge Gutiérrez,Bucks,MIL,2015
7,0.583,12,5,0.278,18,5,24,2,9,12,0.4,30,2,1.0,2,8,0,128,2,7,31,5,0,11,0.483,Milwaukee,Chris Johnson,Bucks,MIL,2015
9,0.409,22,0,0.0,0,5,37,6,13,9,0.409,22,2,1.0,2,11,0,104,6,13,20,5,3,19,0.409,Milwaukee,Kenyon Martin,Bucks,MIL,2015
183,0.43,426,68,0.327,208,184,23,18,244,251,0.396,634,159,0.824,193,82,78,2381,70,177,729,66,115,314,0.45,Indiana,Solomon Hill,Pacers,IND,2015
317,0.448,708,0,0.0,2,84,28,125,384,317,0.446,710,168,0.824,204,76,76,1926,156,216,802,18,107,540,0.446,Indiana,Roy Hibbert,Pacers,IND,2015
319,0.479,666,4,0.2,20,223,34,48,341,323,0.471,686,119,0.739,161,66,66,1895,108,160,769,48,120,449,0.474,Indiana,David West,Pacers,IND,2015
277,0.452,613,55,0.39,141,219,28,10,212,332,0.44,754,177,0.819,216,71,36,1874,36,131,896,56,118,248,0.477,Indiana,Rodney Stuckey,Pacers,IND,2015
175,0.459,381,154,0.345,446,75,27,26,196,329,0.398,827,130,0.807,161,70,40,1841,18,132,942,60,73,214,0.491,Indiana,C.J. Miles,Pacers,IND,2015
295,0.474,622,5,0.25,20,105,34,18,388,300,0.467,642,158,0.699,226,81,16,1659,138,192,763,47,94,526,0.471,Indiana,Luis Scola,Pacers,IND,2015
111,0.459,242,70,0.4,175,208,30,9,145,181,0.434,417,138,0.826,167,57,21,1422,18,107,570,57,100,163,0.518,Indiana,C.J. Watson,Pacers,IND,2015
186,0.544,342,69,0.358,193,220,28,14,154,255,0.477,535,113,0.79,143,43,36,1267,25,111,692,44,69,179,0.541,Indiana,George Hill,Pacers,IND,2015
117,0.552,212,0,0.0,0,33,28,46,251,117,0.552,212,31,0.304,102,61,6,1146,105,172,265,30,59,356,0.552,Indiana,Ian Mahinmi,Pacers,IND,2015
104,0.464,224,41,0.313,131,190,27,0,131,145,0.408,355,60,0.779,77,53,21,1107,12,47,391,23,65,143,0.466,Indiana,Donald Sloan,Pacers,IND,2015
141,0.472,299,0,0.0,0,73,25,42,200,141,0.472,299,33,0.702,47,63,0,1070,123,102,315,15,40,323,0.472,Indiana,Lavoy Allen,Pacers,IND,2015
50,0.538,93,69,0.406,170,53,28,5,39,119,0.452,263,16,0.696,23,68,2,1047,8,79,323,16,47,47,0.584,Indiana,Damjan Rudež,Pacers,IND,2015
60,0.42,143,52,0.311,167,51,30,11,88,112,0.361,310,33,0.733,45,50,12,828,23,78,309,11,59,111,0.445,Indiana,Chris Copeland,Pacers,IND,2015
24,0.48,50,15,0.385,39,27,28,0,12,39,0.438,89,12,0.667,18,10,0,193,2,9,105,4,10,14,0.522,Indiana,A.J. Price,Pacers,IND,2015
18,0.5,36,1,0.167,6,6,23,2,19,19,0.452,42,18,0.783,23,20,0,108,10,18,57,5,5,29,0.464,Indiana,Shayne Whittington,Pacers,IND,2015
9,0.333,27,9,0.409,22,6,24,1,18,18,0.367,49,8,0.727,11,6,0,91,4,11,53,5,12,22,0.459,Indiana,Paul George,Pacers,IND,2015
558,0.495,1127,12,0.462,26,210,34,147,699,570,0.494,1153,294,0.803,366,78,78,2681,220,147,1446,25,158,919,0.5,Chicago,Pau Gasol,Bulls,CHI,2015
348,0.484,719,73,0.378,193,212,25,36,265,421,0.462,912,386,0.834,463,65,65,2513,114,108,1301,114,93,379,0.502,Chicago,Jimmy Butler,Bulls,CHI,2015
190,0.447,425,0,0.0,2,312,29,74,427,190,0.445,427,105,0.603,174,67,67,2049,219,203,485,48,123,646,0.445,Chicago,Joakim Noah,Bulls,CHI,2015
223,0.442,504,121,0.387,313,261,30,15,134,344,0.421,817,145,0.833,174,82,21,1885,32,189,954,54,157,166,0.495,Chicago,Aaron Brooks,Bulls,CHI,2015
102,0.468,218,107,0.407,263,114,34,21,220,209,0.435,481,70,0.805,87,63,63,1838,28,123,595,39,60,248,0.546,Chicago,Mike Dunleavy,Bulls,CHI,2015
254,0.502,506,0,0.0,0,71,29,75,234,254,0.502,506,132,0.717,184,62,17,1692,162,162,640,36,77,396,0.502,Chicago,Taj Gibson,Bulls,CHI,2015
154,0.495,311,99,0.316,313,97,23,54,341,253,0.405,624,228,0.803,284,82,3,1654,63,172,833,54,89,404,0.485,Chicago,Nikola Mirotić,Bulls,CHI,2015
84,0.394,213,58,0.345,168,148,34,14,101,142,0.373,381,35,0.7,50,66,22,1610,20,144,377,46,73,121,0.449,Chicago,Kirk Hinrich,Bulls,CHI,2015
262,0.465,564,76,0.28,271,251,26,16,126,338,0.405,835,152,0.813,187,51,51,1530,35,63,904,36,161,161,0.45,Chicago,Derrick Rose,Bulls,CHI,2015
86,0.494,174,73,0.371,197,62,23,11,145,159,0.429,371,44,0.8,55,72,22,1412,31,86,435,32,48,176,0.527,Chicago,Tony Snell,Bulls,CHI,2015
49,0.485,101,13,0.342,38,33,25,6,34,62,0.446,139,12,0.6,20,56,0,504,12,45,149,20,14,46,0.493,Chicago,E'Twaun Moore,Bulls,CHI,2015
30,0.455,66,13,0.317,41,6,23,1,37,43,0.402,107,10,0.667,15,36,0,321,6,29,109,4,17,43,0.463,Chicago,Doug McDermott,Bulls,CHI,2015
13,0.433,30,0,0.0,0,3,37,5,27,13,0.433,30,1,0.333,3,23,0,128,11,16,27,4,7,38,0.433,Chicago,Nazr Mohammed,Bulls,CHI,2015
3,0.214,14,0,0.0,0,1,24,1,2,3,0.214,14,4,0.8,5,18,1,64,6,8,10,2,3,8,0.214,Chicago,Cameron Bairstow,Bulls,CHI,2015
237,0.449,528,153,0.345,444,109,21,18,209,390,0.401,972,110,0.696,158,82,82,2587,46,161,1043,93,94,255,0.48,Detroit,Kentavious Caldwell-Pope,Pistons,DET,2015
494,0.515,959,0,0.0,2,55,21,153,667,494,0.514,961,142,0.389,365,82,82,2502,437,285,1130,73,120,1104,0.514,Detroit,Andre Drummond,Pistons,DET,2015
423,0.496,853,0,0.0,0,142,24,34,475,423,0.496,853,252,0.75,336,69,57,2137,229,148,1098,78,149,704,0.496,Detroit,Greg Monroe,Pistons,DET,2015
78,0.441,177,83,0.379,219,79,34,4,175,161,0.407,396,55,0.902,61,78,21,1623,21,120,460,43,49,196,0.511,Detroit,Caron Butler,Pistons,DET,2015
