name,Age,G,GS,MP,FG,FGA,FGP,Three_P,Three_PA,Three_PP,Two_P,Two_PA,Two_PP,eFGP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year,place,team,team_abbr
DeMar DeRozan,27,74,74,2620,721,1545,0.467,33,124,0.266,688,1421,0.484,0.477,545,647,0.842,70,316,386,290,78,13,180,134,2020,2017,Toronto,Raptors,TOR
Kyle Lowry,30,60,60,2244,426,918,0.464,193,468,0.412,233,450,0.518,0.569,299,365,0.819,48,238,286,417,88,19,173,170,1344,2017,Toronto,Raptors,TOR
Jonas Valančiūnas,24,80,80,2066,391,702,0.557,1,2,0.5,390,700,0.557,0.558,176,217,0.811,226,533,759,57,37,63,106,216,959,2017,Toronto,Raptors,TOR
Cory Joseph,25,80,22,2003,299,661,0.452,48,135,0.356,251,526,0.477,0.489,94,122,0.77,51,184,235,265,66,13,108,140,740,2017,Toronto,Raptors,TOR
DeMarre Carroll,30,72,72,1882,220,550,0.4,109,320,0.341,111,230,0.483,0.499,89,117,0.761,63,212,275,74,81,27,54,143,638,2017,Toronto,Raptors,TOR
Patrick Patterson,27,65,8,1599,154,384,0.401,94,253,0.372,60,131,0.458,0.523,43,60,0.717,62,231,293,76,40,23,38,120,445,2017,Toronto,Raptors,TOR
Norman Powell,23,76,18,1368,227,506,0.449,56,173,0.324,171,333,0.514,0.504,126,159,0.792,26,143,169,82,52,14,70,127,636,2017,Toronto,Raptors,TOR
Terrence Ross,25,54,0,1207,211,479,0.441,96,256,0.375,115,223,0.516,0.541,41,50,0.82,14,124,138,45,53,20,33,82,559,2017,Toronto,Raptors,TOR
Lucas Nogueira,24,57,6,1088,103,156,0.66,3,12,0.25,100,144,0.694,0.67,44,67,0.657,82,162,244,42,52,89,46,137,253,2017,Toronto,Raptors,TOR
Pascal Siakam,22,55,38,859,103,205,0.502,1,7,0.143,102,198,0.515,0.505,22,32,0.688,64,121,185,17,26,45,33,109,229,2017,Toronto,Raptors,TOR
Serge Ibaka,27,23,23,712,128,279,0.459,41,103,0.398,87,176,0.494,0.532,30,34,0.882,29,127,156,15,7,33,39,76,327,2017,Toronto,Raptors,TOR
Jakob Poeltl,21,54,4,626,67,115,0.583,0,0,0.0,67,115,0.583,0.583,31,57,0.544,78,87,165,12,17,20,29,113,165,2017,Toronto,Raptors,TOR
P.J. Tucker,31,24,4,609,52,128,0.406,24,60,0.4,28,68,0.412,0.5,11,16,0.688,23,106,129,26,31,5,14,53,139,2017,Toronto,Raptors,TOR
Delon Wright,24,27,0,446,49,116,0.422,10,30,0.333,39,86,0.453,0.466,42,55,0.764,16,32,48,57,27,11,25,31,150,2017,Toronto,Raptors,TOR
Fred VanVleet,22,37,0,294,39,111,0.351,11,29,0.379,28,82,0.341,0.401,18,22,0.818,4,38,42,35,16,3,15,36,107,2017,Toronto,Raptors,TOR
Jared Sullinger,24,11,1,118,15,47,0.319,3,18,0.167,12,29,0.414,0.351,4,8,0.5,10,17,27,3,4,1,4,17,37,2017,Toronto,Raptors,TOR
Bruno Caboclo,21,9,0,40,6,16,0.375,2,6,0.333,4,10,0.4,0.438,0,0,0.0,5,5,10,4,2,1,2,4,14,2017,Toronto,Raptors,TOR
Isaiah Thomas,27,76,76,2569,682,1473,0.463,245,646,0.379,437,827,0.528,0.546,590,649,0.909,43,162,205,448,70,13,210,167,2199,2017,Boston,Celtics,BOS
Marcus Smart,22,79,24,2399,269,749,0.359,94,332,0.283,175,417,0.42,0.422,203,250,0.812,78,227,305,364,125,34,159,192,835,2017,Boston,Celtics,BOS
Jae Crowder,26,72,72,2335,333,720,0.463,157,394,0.398,176,326,0.54,0.572,176,217,0.811,48,367,415,155,73,23,80,161,999,2017,Boston,Celtics,BOS
Al Horford,30,68,68,2193,379,801,0.473,86,242,0.355,293,559,0.524,0.527,108,135,0.8,95,370,465,337,52,86,115,138,952,2017,Boston,Celtics,BOS
Avery Bradley,26,55,55,1835,359,775,0.463,108,277,0.39,251,498,0.504,0.533,68,93,0.731,65,269,334,122,68,11,88,141,894,2017,Boston,Celtics,BOS
Amir Johnson,29,80,77,1608,213,370,0.576,27,66,0.409,186,304,0.612,0.612,67,100,0.67,118,248,366,140,51,62,77,211,520,2017,Boston,Celtics,BOS
Kelly Olynyk,25,75,6,1538,260,508,0.512,68,192,0.354,192,316,0.608,0.579,90,123,0.732,73,288,361,148,43,29,96,207,678,2017,Boston,Celtics,BOS
Jaylen Brown,20,78,20,1341,192,423,0.454,46,135,0.341,146,288,0.507,0.508,85,124,0.685,45,175,220,64,35,18,68,142,515,2017,Boston,Celtics,BOS
Terry Rozier,22,74,0,1263,151,411,0.367,57,179,0.318,94,232,0.405,0.437,51,66,0.773,40,187,227,131,46,11,47,69,410,2017,Boston,Celtics,BOS
Jonas Jerebko,29,78,6,1232,114,262,0.435,45,130,0.346,69,132,0.523,0.521,26,37,0.703,59,213,272,71,25,17,39,122,299,2017,Boston,Celtics,BOS
Gerald Green,31,47,0,538,95,232,0.409,39,111,0.351,56,121,0.463,0.494,33,41,0.805,16,68,84,33,9,7,25,48,262,2017,Boston,Celtics,BOS
Tyler Zeller,27,51,5,525,78,158,0.494,0,1,0.0,78,157,0.497,0.494,22,39,0.564,43,81,124,42,7,21,20,61,178,2017,Boston,Celtics,BOS
